,name,product_url,rating,reviews,price,product_type
49,"BENGOO G9000 Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games",https://www.amazon.com/BENGOO-G9000-Controller-Cancelling-Headphones/dp/B01H6GUCCQ/ref=sr_1_56?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-56,4.3 out of 5 stars,"19,980",$41.88,Headphones
50,VEATOOL 5.0 Bluetooth Headphones  Binaural Call True Wireless Earbuds 20H Playtime HD Stereo Bass Sound Mini in Ear Bluetooth Earphones with Built in Mic and Charging Case for Sports Running,https://www.amazon.com/Bluetooth-Headphones-VEATOOL-Binaural-Earphones/dp/B07NRGR9LL/ref=sr_1_57?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-57,4.3 out of 5 stars,"5,725",$25.88,Headphones
51,JBL Endurance RUN - Wired Sport In-Ear Headphones - Black,https://www.amazon.com/JBL-Endurance-Headphone-one-Button-Remote/dp/B07NVXJNHG/ref=sr_1_58?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-58,4.5 out of 5 stars,795,$19.95,Headphones
52,"Bluetooth Headphones, Letscom Wireless Headphones Over Ear with Microphones Hands-Free Calls, Hi-Fi Sound and 3 EQ Sound Modes, 45Hrs Playtime for Cell Phones PC Tablet Home Office",https://www.amazon.com/Bluetooth-Headphones-Wireless-Playtime-Cellphone/dp/B07X2K9ZPH/ref=sr_1_59?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-59,4.3 out of 5 stars,704,$34.89,Headphones
53,"Sony Noise Cancelling Headphones WHCH710N: Wireless Bluetooth Over The Ear Headset with Mic for Phone-Call, Black (WHCH710N/B)",https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WHCH710N/dp/B085RNVJ3P/ref=sr_1_60?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-60,4.4 out of 5 stars,"3,947",$128.00,Headphones
54,Snug Play+ Kids Headphones Volume Limiting and Audio Sharing Port (Blue Camo),https://www.amazon.com/Snug-Headphones-Limiting-Audio-Sharing/dp/B07XYSY817/ref=sr_1_61?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-61,4.3 out of 5 stars,"4,895",$15.95,Headphones
55,"noot products NP11 Wireless Bluetooth Earbuds Headphones with Mic, Volume & Remote Control IPX7 Sweatproof in-Ear for Sports, Running, Gym",https://www.amazon.com/noot-products-NP11-Headphones-Waterproof/dp/B07SRVYKDF/ref=sr_1_62?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-62,4.4 out of 5 stars,"1,175",$12.99,Headphones
56,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Space Black)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg3_2?ie=UTF8&adId=A03333881O1NWN402UNJ2&url=%2FLORELEI-X6-Headphones-Microphone-Lightweight%2Fdp%2FB083P1HG9S%2Fref%3Dsr_1_64_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-64-spons%26psc%3D1&qualifier=1592489130&id=2755238493082281&widgetName=sp_mtf,4.5 out of 5 stars,103,$16.99,Headphones
57,"Wireless Earbuds, Vislla 5.0 Bluetooth Sport Headphones Stereo Bass Sound TWS Ear Buds Over Ear Sweatproof Headset 8 Hours Playtime Wireless Earphones with Mic & Charging Case for Running/Working Out",https://www.amazon.com/Vislla-Bluetooth-Headphones-Sweatproof-Earphones/dp/B07WWG151L/ref=sr_1_65?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-65,4.4 out of 5 stars,"3,462",$39.98,Headphones
58,"Mpow Flame Bluetooth Headphones V5.0 IPX7 Waterproof Wireless headphones, Bass+ HD Stereo Wireless Sport Earbuds, 7-9Hrs Playtime, cVc6.0 Noise Cancelling Mic for Home Workout, Running, Gym Red",https://www.amazon.com/Mpow-Headphones-Waterproof-Cancelling-Microphone/dp/B0753GRNQZ/ref=sr_1_66?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-66,4.3 out of 5 stars,"24,805",$14.44,Headphones
